ProductCode	MasterProductCode	ProductName	ProductAlternateName	UPC	SKU	ProductDescription	ProductAlternateDescription	ManufacturerCode	ManufacturerName	ManufacturerAlternateName	ProductHierarchyLevel1Code	ProductHierarchyLevel1Name	ProductHierarchyLevel1AlternateName	ProductHierarchyLevel2Code	ProductHierarchyLevel2Name	ProductHierarchyLevel2AlternateName	ProductHierarchyLevel3Code	ProductHierarchyLevel3Name	ProductHierarchyLevel3AlternateName	ProductHierarchyLevel4Code	ProductHierarchyLevel4Name	ProductHierarchyLevel4AlternateName	ProductHierarchyLevel5Code	ProductHierarchyLevel5Name	ProductHierarchyLevel5AlternateName	BrandHierarchyLevel1Code	BrandHierarchyLevel1Name	BrandHierarchyLevel1AlternateName	BrandHierarchyLevel2Code	BrandHierarchyLevel2Name	BrandHierarchyLevel2AlternateName	ProductUnitSizeCode	ProductUnitSizeName	ProductUnitSizeAlternateName	ProductUnitSize	ProductUnitUOM	PackageType	PackageSize	PackageUOM	PackageUnits	IsControlLabel	ProductCustomAttribute1Name	ProductCustomAttribute1Value	ProductCustomAttribute1AlternateValue	ProductCustomAttribute2Name	ProductCustomAttribute2Value	ProductCustomAttribute2AlternateValue	ProductCustomAttribute3Name	ProductCustomAttribute3Value	ProductCustomAttribute3AlternateValue	ProductCustomAttribute4Name	ProductCustomAttribute4Value	ProductCustomAttribute4AlternateValue	ProductCustomAttribute5Name	ProductCustomAttribute5Value	ProductCustomAttribute5AlternateValue	ProductCustomAttribute6Name	ProductCustomAttribute6Value	ProductCustomAttribute6AlternateValue	ProductCustomAttribute7Name	ProductCustomAttribute7Value	ProductCustomAttribute7AlternateValue	ProductCustomAttribute8Name	ProductCustomAttribute8Value	ProductCustomAttribute8AlternateValue	ProductCustomAttribute9Name	ProductCustomAttribute9Value	ProductCustomAttribute9AlternateValue	ProductCustomAttribute10Name	ProductCustomAttribute10Value	ProductCustomAttribute10AlternateValue	VendorCode	VendorName	LargeClusterStatus	MediumClusterStatus	SmallClusterStatus	EqualizedUnitsConversionFactor
26	26	Item without cost	tem without costI-ay	4000222026	321-26	Item without cost	tem without costI-ay	M2	Nestle	estleN-ay	Grocery	Grocery	roceryG-ay	Category Two	Category Two	ategory TwoC-ay	Subcategory Two B	Subcategory Two B	ubcategory Two BS-ay	Subcategory Two B	Subcategory Two B	ubcategory Two BS-ay	Subcategory Two B	Subcategory Two B	ubcategory Two BS-ay	Brand One	Brand One	rand OneB-ay	Brand One Regular	Brand One Regular	rand One RegularB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.1	1.1C-ay	C2.1	C2.1	2.1C-ay	C3.1	C3.1	3.1C-ay	C4.4	C4.4	4.4C-ay	C5.1	C5.1	5.1C-ay	C6.2	C6.2	6.2C-ay	C7.3	C7.3	7.3C-ay	C8.1	C8.1	8.1C-ay	C9.1	C9.1	9.1C-ay	C10.2	C10.2	10.2C-ay	V1	Unilever	Core	Core	Core	3
27	27	Item with negative cost	tem with negative costI-ay	4000222027	321-27	Item with negative cost	tem with negative costI-ay	M3	Unilever	nileverU-ay	Grocery	Grocery	roceryG-ay	Category Two	Category Two	ategory TwoC-ay	Subcategory Two B	Subcategory Two B	ubcategory Two BS-ay	Subcategory Two B	Subcategory Two B	ubcategory Two BS-ay	Subcategory Two B	Subcategory Two B	ubcategory Two BS-ay	CL Brand One	CL Brand One	L Brand OneC-ay	CL Brand One	CL Brand One	L Brand OneC-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	1	Custom Attribute 1	C1.1	1.1C-ay	C2.1	C2.1	2.1C-ay	C3.2	C3.2	3.2C-ay	C4.4	C4.4	4.4C-ay	C5.1	C5.1	5.1C-ay	C6.3	C6.3	6.3C-ay	C7.3	C7.3	7.3C-ay	C8.1	C8.1	8.1C-ay	C9.1	C9.1	9.1C-ay	C10.2	C10.2	10.2C-ay	V2	Nestle	Core	Core	Core	8
28	28	Rebate or Coupon	ebate or CouponR-ay	4000222028	321-28	Rebate or Coupon	ebate or CouponR-ay	M3	Unilever	nileverU-ay	Grocery	Grocery	roceryG-ay	Category Two	Category Two	ategory TwoC-ay	Subcategory Two B	Subcategory Two B	ubcategory Two BS-ay	Subcategory Two B	Subcategory Two B	ubcategory Two BS-ay	Subcategory Two B	Subcategory Two B	ubcategory Two BS-ay	Brand Three	Brand Three	rand ThreeB-ay	Brand Three	Brand Three	rand ThreeB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.2	1.2C-ay	C2.2	C2.2	2.2C-ay	C3.1	C3.1	3.1C-ay	C4.4	C4.4	4.4C-ay	C5.1	C5.1	5.1C-ay	C6.4	C6.4	6.4C-ay	C7.1	C7.1	7.1C-ay	C8.1	C8.1	8.1C-ay	C9.1	C9.1	9.1C-ay	C10.2	C10.2	10.2C-ay	V2	Nestle	Core	Core	Core	6
29	29	Item with sales gaps	tem with sales gapsI-ay	4000222029	321-29	Item with sales gaps	tem with sales gapsI-ay	M3	Unilever	nileverU-ay	Grocery	Grocery	roceryG-ay	Category Two	Category Two	ategory TwoC-ay	Subcategory Two C	Subcategory Two C	ubcategory Two CS-ay	Subcategory Two C	Subcategory Two C	ubcategory Two CS-ay	Subcategory Two C	Subcategory Two C	ubcategory Two CS-ay	Brand Four	Brand Four	rand FourB-ay	Brand Four	Brand Four	rand FourB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.2	1.2C-ay	C2.1	C2.1	2.1C-ay	C3.3	C3.3	3.3C-ay	C4.1	C4.1	4.1C-ay	C5.1	C5.1	5.1C-ay	C6.1	C6.1	6.1C-ay	C7.4	C7.4	7.4C-ay	C8.3	C8.3	8.3C-ay	C9.2	C9.2	9.2C-ay	C10.2	C10.2	10.2C-ay	V2	Nestle	Core	Core	Core	6
30	30	Inventory but no sales	nventory but no salesI-ay	4000222030	321-30	Inventory but no sales	nventory but no salesI-ay	M1	ACME	CMEA-ay	Grocery	Grocery	roceryG-ay	Category Two	Category Two	ategory TwoC-ay	Subcategory Two C	Subcategory Two C	ubcategory Two CS-ay	Subcategory Two C	Subcategory Two C	ubcategory Two CS-ay	Subcategory Two C	Subcategory Two C	ubcategory Two CS-ay	Brand One	Brand One	rand OneB-ay	Brand One Regular	Brand One Regular	rand One RegularB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.1	1.1C-ay	C2.1	C2.1	2.1C-ay	C3.1	C3.1	3.1C-ay	C4.1	C4.1	4.1C-ay	C5.1	C5.1	5.1C-ay	C6.1	C6.1	6.1C-ay	C7.1	C7.1	7.1C-ay	C8.2	C8.2	8.2C-ay	C9.2	C9.2	9.2C-ay	C10.1	C10.1	10.1C-ay	V2	Nestle	Core	Core	Core	8
31	31	Sales but no inventory	ales but no inventoryS-ay	4000222031	321-31	Sales but no inventory	ales but no inventoryS-ay	M1	ACME	CMEA-ay	Grocery	Grocery	roceryG-ay	Category Two	Category Two	ategory TwoC-ay	Subcategory Two C	Subcategory Two C	ubcategory Two CS-ay	Subcategory Two C	Subcategory Two C	ubcategory Two CS-ay	Subcategory Two C	Subcategory Two C	ubcategory Two CS-ay	CL Brand One	CL Brand One	L Brand OneC-ay	CL Brand One	CL Brand One	L Brand OneC-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	1	Custom Attribute 1	C1.1	1.1C-ay	C2.2	C2.2	2.2C-ay	C3.4	C3.4	3.4C-ay	C4.1	C4.1	4.1C-ay	C5.1	C5.1	5.1C-ay	C6.1	C6.1	6.1C-ay	C7.1	C7.1	7.1C-ay	C8.1	C8.1	8.1C-ay	C9.1	C9.1	9.1C-ay	C10.1	C10.1	10.1C-ay	V2	Nestle	Core	Core	Core	8
32	32	Sales and inventory without shipments	ales and inventory without shipmentsS-ay	4000222032	321-32	Sales and inventory without shipments	ales and inventory without shipmentsS-ay	M2	Nestle	estleN-ay	Grocery	Grocery	roceryG-ay	Category Two	Category Two	ategory TwoC-ay	Subcategory Two C	Subcategory Two C	ubcategory Two CS-ay	Subcategory Two C	Subcategory Two C	ubcategory Two CS-ay	Subcategory Two C	Subcategory Two C	ubcategory Two CS-ay	Brand Three	Brand Three	rand ThreeB-ay	Brand Three	Brand Three	rand ThreeB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.1	1.1C-ay	C2.1	C2.1	2.1C-ay	C3.4	C3.4	3.4C-ay	C4.2	C4.2	4.2C-ay	C5.1	C5.1	5.1C-ay	C6.1	C6.1	6.1C-ay	C7.2	C7.2	7.2C-ay	C8.1	C8.1	8.1C-ay	C9.3	C9.3	9.3C-ay	C10.1	C10.1	10.1C-ay	V1	Unilever	Core	Core	Core	2
33	33	Item in category that stopped selling	tem in category that stopped sellingI-ay	4000222033	321-33	Item in category that stopped selling	tem in category that stopped sellingI-ay	M2	Nestle	estleN-ay	Grocery	Grocery	roceryG-ay	Dead Category	Dead Category	ead CategoryD-ay	Dead Category	Dead Category	ead CategoryD-ay	Dead Category	Dead Category	ead CategoryD-ay	Dead Category	Dead Category	ead CategoryD-ay	Brand One	Brand One	rand OneB-ay	Brand One Regular	Brand One Regular	rand One RegularB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.1	1.1C-ay	C2.1	C2.1	2.1C-ay	C3.1	C3.1	3.1C-ay	C4.2	C4.2	4.2C-ay	C5.1	C5.1	5.1C-ay	C6.1	C6.1	6.1C-ay	C7.1	C7.1	7.1C-ay	C8.1	C8.1	8.1C-ay	C9.4	C9.4	9.4C-ay	C10.1	C10.1	10.1C-ay	V1	Unilever	Core	Core	Core	1
34	34	Item selling in a single store	tem selling in a single storeI-ay	4000222034	321-34	Item selling in a single store	tem selling in a single storeI-ay	M2	Nestle	estleN-ay	Grocery	Grocery	roceryG-ay	Retail Assigned	Retail Assigned	etail AssignedR-ay	Retail Assigned	Retail Assigned	etail AssignedR-ay	Retail Assigned	Retail Assigned	etail AssignedR-ay	Retail Assigned	Retail Assigned	etail AssignedR-ay	Brand One	Brand One	rand OneB-ay	Brand One Diet	Brand One Diet	rand One DietB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.1	1.1C-ay	C2.1	C2.1	2.1C-ay	C3.1	C3.1	3.1C-ay	C4.3	C4.3	4.3C-ay	C5.1	C5.1	5.1C-ay	C6.1	C6.1	6.1C-ay	C7.1	C7.1	7.1C-ay	C8.1	C8.1	8.1C-ay	C9.1	C9.1	9.1C-ay	C10.1	C10.1	10.1C-ay	V1	Unilever	Core	Core	Core	4
35	35	Late arriving product (mismapped)	ate arriving product (mismapped)L-ay	4000222035	321-35	Late arriving product (mismapped)	ate arriving product (mismapped)L-ay	M2	Nestle	estleN-ay	Grocery	Grocery	roceryG-ay	Dead Category	Dead Category	ead CategoryD-ay	Dead Category	Dead Category	ead CategoryD-ay	Dead Category	Dead Category	ead CategoryD-ay	Dead Category	Dead Category	ead CategoryD-ay	Brand One	Brand One	rand OneB-ay	Brand One Regular	Brand One Regular	rand One RegularB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.1	1.1C-ay	C2.1	C2.1	2.1C-ay	C3.2	C3.2	3.2C-ay	C4.4	C4.4	4.4C-ay	C5.1	C5.1	5.1C-ay	C6.1	C6.1	6.1C-ay	C7.1	C7.1	7.1C-ay	C8.3	C8.3	8.3C-ay	C9.2	C9.2	9.2C-ay	C10.1	C10.1	10.1C-ay	V1	Unilever				3
36	36	Late arriving store (mismapped)	ate arriving store (mismapped)L-ay	4000222036	321-36	Late arriving store (mismapped)	ate arriving store (mismapped)L-ay	M2	Nestle	estleN-ay	Grocery	Grocery	roceryG-ay	Dead Category	Dead Category	ead CategoryD-ay	Dead Category	Dead Category	ead CategoryD-ay	Dead Category	Dead Category	ead CategoryD-ay	Dead Category	Dead Category	ead CategoryD-ay	Brand One	Brand One	rand OneB-ay	Brand One Diet	Brand One Diet	rand One DietB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.2	1.2C-ay	C2.1	C2.1	2.1C-ay	C3.1	C3.1	3.1C-ay	C4.4	C4.4	4.4C-ay	C5.3	C5.3	5.3C-ay	C6.1	C6.1	6.1C-ay	C7.3	C7.3	7.3C-ay	C8.2	C8.2	8.2C-ay	C9.2	C9.2	9.2C-ay	C10.1	C10.1	10.1C-ay	V1	Unilever				1
37	37	Item with no sales in L12 (but with sales in L52)	tem with no sales in L12 (but with sales in L52)I-ay	4000222037	321-37	Item with no sales in L12 (but with sales in L52)	tem with no sales in L12 (but with sales in L52)I-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	Brand One	Brand One	rand OneB-ay	Brand One Regular	Brand One Regular	rand One RegularB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.2	1.2C-ay	C2.1	C2.1	2.1C-ay	C3.3	C3.3	3.3C-ay	C4.4	C4.4	4.4C-ay	C5.2	C5.2	5.2C-ay	C6.1	C6.1	6.1C-ay	C7.3	C7.3	7.3C-ay	C8.1	C8.1	8.1C-ay	C9.1	C9.1	9.1C-ay	C10.1	C10.1	10.1C-ay	V2	Nestle				7
38	38	Item with Seasonal Indicator	tem with Seasonal IndicatorI-ay	4000222038	321-38	Item with Seasonal Indicator	tem with Seasonal IndicatorI-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	Brand Three	Brand Three	rand ThreeB-ay	Brand Three	Brand Three	rand ThreeB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.1	1.1C-ay	C2.2	C2.2	2.2C-ay	C3.1	C3.1	3.1C-ay	C4.1	C4.1	4.1C-ay	C5.1	C5.1	5.1C-ay	C6.1	C6.1	6.1C-ay	C7.1	C7.1	7.1C-ay	C8.1	C8.1	8.1C-ay	C9.3	C9.3	9.3C-ay	C10.2	C10.2	10.2C-ay	UNKNOWN/INCONNU	UNKNOWN/INCONNU				6
39	39	negative sales	egative salesn-ay	4000222039	321-39	negative sales	egative salesn-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	Brand One	Brand One	rand OneB-ay	Brand One Regular	Brand One Regular	rand One RegularB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.1	1.1C-ay	C2.2	C2.2	2.2C-ay	C3.1	C3.1	3.1C-ay	C4.1	C4.1	4.1C-ay	C5.1	C5.1	5.1C-ay	C6.1	C6.1	6.1C-ay	C7.1	C7.1	7.1C-ay	C8.1	C8.1	8.1C-ay	C9.4	C9.4	9.4C-ay	C10.2	C10.2	10.2C-ay	UNKNOWN/INCONNU	UNKNOWN/INCONNU				1
40	40	innovation LY	nnovation LYi-ay	4000222040	321-40	innovation LY	nnovation LYi-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	Brand Four	Brand Four	rand FourB-ay	Brand Four	Brand Four	rand FourB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.1	1.1C-ay	C2.1	C2.1	2.1C-ay	C3.2	C3.2	3.2C-ay	C4.2	C4.2	4.2C-ay	C5.3	C5.3	5.3C-ay	C6.2	C6.2	6.2C-ay	C7.3	C7.3	7.3C-ay	C8.1	C8.1	8.1C-ay	C9.1	C9.1	9.1C-ay	C10.2	C10.2	10.2C-ay	UNKNOWN/INCONNU	UNKNOWN/INCONNU				2
41	41	item that should be hidden from reporting	tem that should be hidden from reportingi-ay	4000222041	321-41	item that should be hidden from reporting	tem that should be hidden from reportingi-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	Brand One	Brand One	rand OneB-ay	Brand One Diet	Brand One Diet	rand One DietB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.1	1.1C-ay	C2.1	C2.1	2.1C-ay	C3.1	C3.1	3.1C-ay	C4.2	C4.2	4.2C-ay	C5.1	C5.1	5.1C-ay	C6.3	C6.3	6.3C-ay	C7.3	C7.3	7.3C-ay	C8.3	C8.3	8.3C-ay	C9.1	C9.1	9.1C-ay	C10.2	C10.2	10.2C-ay	UNKNOWN/INCONNU	UNKNOWN/INCONNU				5
42	42	item with mulitple mfrs in different regions	tem with mulitple mfrs in different regionsi-ay	4000222042	321-42	item with mulitple mfrs in different regions	tem with mulitple mfrs in different regionsi-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	Brand One	Brand One	rand OneB-ay	Brand One Diet	Brand One Diet	rand One DietB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.1	1.1C-ay	C2.2	C2.2	2.2C-ay	C3.3	C3.3	3.3C-ay	C4.3	C4.3	4.3C-ay	C5.1	C5.1	5.1C-ay	C6.4	C6.4	6.4C-ay	C7.1	C7.1	7.1C-ay	C8.2	C8.2	8.2C-ay	C9.1	C9.1	9.1C-ay	C10.2	C10.2	10.2C-ay	UNKNOWN/INCONNU	UNKNOWN/INCONNU				10
43	43	control label product	ontrol label productc-ay	4000222043	321-43	control label product	ontrol label productc-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	Brand One	Brand One	rand OneB-ay	Brand One Regular	Brand One Regular	rand One RegularB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.1	1.1C-ay	C2.2	C2.2	2.2C-ay	C3.1	C3.1	3.1C-ay	C4.4	C4.4	4.4C-ay	C5.1	C5.1	5.1C-ay	C6.1	C6.1	6.1C-ay	C7.4	C7.4	7.4C-ay	C8.1	C8.1	8.1C-ay	C9.2	C9.2	9.2C-ay	C10.2	C10.2	10.2C-ay	UNKNOWN/INCONNU	UNKNOWN/INCONNU				1
44	44	bonus/linked item	onus/linked itemb-ay	4000222044	321-44	bonus/linked item	onus/linked itemb-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	Brand One	Brand One	rand OneB-ay	Brand One Regular	Brand One Regular	rand One RegularB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.2	1.2C-ay	C2.1	C2.1	2.1C-ay	C3.4	C3.4	3.4C-ay	C4.4	C4.4	4.4C-ay	C5.1	C5.1	5.1C-ay	C6.1	C6.1	6.1C-ay	C7.1	C7.1	7.1C-ay	C8.1	C8.1	8.1C-ay	C9.2	C9.2	9.2C-ay	C10.1	C10.1	10.1C-ay	UNKNOWN/INCONNU	UNKNOWN/INCONNU				6
45	45	Item with seasonal sales	tem with seasonal salesI-ay	4000222045	321-45	Item with seasonal sales	tem with seasonal salesI-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.2	1.2C-ay	C2.1	C2.1	2.1C-ay	C3.4	C3.4	3.4C-ay	C4.4	C4.4	4.4C-ay	C5.1	C5.1	5.1C-ay	C6.1	C6.1	6.1C-ay	C7.1	C7.1	7.1C-ay	C8.1	C8.1	8.1C-ay	C9.1	C9.1	9.1C-ay	C10.1	C10.1	10.1C-ay	UNKNOWN/INCONNU	UNKNOWN/INCONNU				5
46	46	Item with no sales in Previous week	tem with no sales in Previous weekI-ay	4000222046	321-46	Item with no sales in Previous week	tem with no sales in Previous weekI-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.1	1.1C-ay	C2.2	C2.2	2.2C-ay	C3.3	C3.3	3.3C-ay	C4.1	C4.1	4.1C-ay	C5.1	C5.1	5.1C-ay	C6.1	C6.1	6.1C-ay	C7.2	C7.2	7.2C-ay	C8.1	C8.1	8.1C-ay	C9.3	C9.3	9.3C-ay	C10.1	C10.1	10.1C-ay	UNKNOWN/INCONNU	UNKNOWN/INCONNU				8
47	47	Item with no sales in Current week	tem with no sales in Current weekI-ay	4000222047	321-47	Item with no sales in Current week	tem with no sales in Current weekI-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.2	1.2C-ay	C2.1	C2.1	2.1C-ay	C3.1	C3.1	3.1C-ay	C4.1	C4.1	4.1C-ay	C5.1	C5.1	5.1C-ay	C6.1	C6.1	6.1C-ay	C7.1	C7.1	7.1C-ay	C8.1	C8.1	8.1C-ay	C9.4	C9.4	9.4C-ay	C10.1	C10.1	10.1C-ay	UNKNOWN/INCONNU	UNKNOWN/INCONNU				3
48	48	Item with GP < -100%	tem with GP < -100%I-ay	4000222048	321-48	Item with GP < -100%	tem with GP < -100%I-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	NKNOWNU-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.2	1.2C-ay	C2.1	C2.1	2.1C-ay	C3.4	C3.4	3.4C-ay	C4.1	C4.1	4.1C-ay	C5.1	C5.1	5.1C-ay	C6.1	C6.1	6.1C-ay	C7.1	C7.1	7.1C-ay	C8.1	C8.1	8.1C-ay	C9.1	C9.1	9.1C-ay	C10.1	C10.1	10.1C-ay	UNKNOWN/INCONNU	UNKNOWN/INCONNU				1
